row_number,question_text,correct_answer,knowledge_area,concept_id,concept_name,relevance,reasoning
2,What is the primary purpose of stakeholder analysis?...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
3,Which technique is used to understand stakeholder needs and expectations?...,A,Elicitation and Collaboration,,NO MAPPING,,
4,What is the purpose of requirements prioritization?...,D,Requirements Life Cycle Management,,NO MAPPING,,
5,Which analysis is performed to understand the organization's strategic direction?...,D,Strategy Analysis,,NO MAPPING,,
6,What is the purpose of data modeling?...,A,Requirements Analysis and Design Definition,,NO MAPPING,,
7,Which technique is used to measure solution effectiveness?...,D,Solution Evaluation,,NO MAPPING,,
8,What is a key component of the BA Planning and Monitoring knowledge area?...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
9,Which elicitation technique involves observing users in their environment?...,A,Elicitation and Collaboration,,NO MAPPING,,
10,What is the purpose of requirements traceability?...,D,Requirements Life Cycle Management,,NO MAPPING,,
11,Which strategic analysis technique identifies internal strengths and weaknesses?...,A,Strategy Analysis,,NO MAPPING,,
12,A new initiative requires integrating two legacy systems. You anticipate significant stakeholder res...,C,Business Analysis Planning and Monitoring,,NO MAPPING,,
13,The regulatory environment surrounding your project is highly complex and volatile. As you begin to ...,B,Business Analysis Planning and Monitoring,,NO MAPPING,,
14,A business analyst is defining the structure for their forthcoming requirement package. What should ...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
15,The purpose of the Plan Business Analysis Approach task (3.1) is best described as:...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
16,Which element of the Plan Business Analysis Approach task involves selecting whether requirements wi...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
17,The primary output of the Plan Business Analysis Approach task (3.1) is the:...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
18,"While defining the BA Approach, the business analyst uses Expert Judgment (a guideline/tool) to dete...",D,Business Analysis Planning and Monitoring,,NO MAPPING,,
19,A Business Analyst determined that a project's high complexity and the organization’s low tolerance ...,B,Business Analysis Planning and Monitoring,,NO MAPPING,,
20,"A large, multi-year program requires the Business Analyst to define how all subsequent planning will...",A,Business Analysis Planning and Monitoring,,NO MAPPING,,
21,The Project Manager reviews the proposed Business Analysis Approach (3.1). Why is their review criti...,B,Business Analysis Planning and Monitoring,,NO MAPPING,,
22,"You are initiating a high-profile, cross-functional initiative impacting five departments, three of ...",B,Business Analysis Planning and Monitoring,,NO MAPPING,,
23,"During the execution of a change, a key stakeholder's attitude shifts from positive to highly negati...",B,Business Analysis Planning and Monitoring,,NO MAPPING,,
24,The primary input used to perform a comprehensive Stakeholder Analysis during the Plan Stakeholder E...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
25,Which technique is explicitly recommended for detailing the relationships between stakeholders and t...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
26,A BA is drafting a stakeholder communication plan. Which factor determines the appropriate level of ...,B,Business Analysis Planning and Monitoring,,NO MAPPING,,
27,The task Plan Stakeholder Engagement (3.2) directly supports the realization of which core concept b...,C,Business Analysis Planning and Monitoring,,NO MAPPING,,
28,A crucial step in defining stakeholder collaboration involves planning different engagement approach...,B,Business Analysis Planning and Monitoring,,NO MAPPING,,
29,"In an organization utilizing a complex, predictive methodology, the BA is defining the governance ap...",B,Business Analysis Planning and Monitoring,,NO MAPPING,,
30,The Business Analyst must establish who has the authority to approve changes to baselined requiremen...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
31,A project is starting with high uncertainty regarding technical feasibility. When planning the prior...,B,Business Analysis Planning and Monitoring,,NO MAPPING,,
32,Which input is necessary for the Plan Business Analysis Governance task (3.3) to ensure that decisio...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
33,A BA is developing the change control process within Plan Business Analysis Governance (3.3). Which ...,C,Business Analysis Planning and Monitoring,,NO MAPPING,,
34,The primary output of Plan Business Analysis Governance (3.3) is the Governance Approach. What does ...,C,Business Analysis Planning and Monitoring,,NO MAPPING,,
35,"When planning for approvals (3.3.4.4), the BA must determine the timing and frequency. This consider...",A,Business Analysis Planning and Monitoring,,NO MAPPING,,
36,"During the Plan Business Analysis Information Management task (3.4), a BA must define how requiremen...",C,Business Analysis Planning and Monitoring,,NO MAPPING,,
37,A BA is planning the information management approach (3.4). The organization has chosen a requiremen...,C,Business Analysis Planning and Monitoring,,NO MAPPING,,
38,"Which requirement attribute helps distinguish between relative value and implementation urgency, ena...",D,Business Analysis Planning and Monitoring,,NO MAPPING,,
39,"A BA is defining the information management approach (3.4) for a new, highly complex solution. The k...",B,Business Analysis Planning and Monitoring,,NO MAPPING,,
40,When structuring business analysis information for the Plan Business Analysis Information Management...,C,Business Analysis Planning and Monitoring,,NO MAPPING,,
41,The primary output of the Plan Business Analysis Information Management task (3.4) is the:...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
42,The primary purpose of Identify Business Analysis Performance Improvements (3.5) is to:...,B,Business Analysis Planning and Monitoring,,NO MAPPING,,
43,A BA conducts a performance analysis (3.5.4.1) based on metrics collected during the previous projec...,A,Business Analysis Planning and Monitoring,,NO MAPPING,,
44,Which element of the Identify Business Analysis Performance Improvements task compares the performan...,C,Business Analysis Planning and Monitoring,,NO MAPPING,,
45,The BA collected qualitative feedback from stakeholders indicating that the models produced were dif...,B,Business Analysis Planning and Monitoring,,NO MAPPING,,
46,"The key input that defines the desired outcomes that an enterprise is hoping to achieve, against whi...",B,Business Analysis Planning and Monitoring,,NO MAPPING,,
47,A Business Analyst uses Root Cause Analysis (a technique) during Identify Business Analysis Performa...,C,Business Analysis Planning and Monitoring,,NO MAPPING,,
48,The task Prepare for Elicitation (4.1) primarily involves:...,C,Elicitation and Collaboration,,NO MAPPING,,
49,A Business Analyst needs to elicit requirements for a major system overhaul. The domain subject matt...,B,Elicitation and Collaboration,,NO MAPPING,,
50,"When selecting elicitation techniques (4.1.4.2) for a politically sensitive project, a BA opts for o...",C,Elicitation and Collaboration,,NO MAPPING,,
51,A BA is preparing for a session to define the scope of a complex regulatory reporting requirement. W...,C,Elicitation and Collaboration,,NO MAPPING,,
52,The primary output of the Prepare for Elicitation task (4.1) is the:...,B,Elicitation and Collaboration,,NO MAPPING,,
53,A key element of preparing stakeholders (4.1.4.5) involves explaining the elicitation technique to e...,B,Elicitation and Collaboration,,NO MAPPING,,
54,A BA must select techniques for a session intended to collaboratively identify and reach consensus o...,B,Elicitation and Collaboration,,NO MAPPING,,
55,A Business Analyst needs to discover information that cannot be reliably drawn from people or existi...,C,Elicitation and Collaboration,,NO MAPPING,,
56,"During the Conduct Elicitation task (4.2), a BA finds that stakeholders are repeatedly discussing to...",C,Elicitation and Collaboration,,NO MAPPING,,
57,Which technique involves defining key terms and ideas and establishing the relationships between the...,A,Elicitation and Collaboration,,NO MAPPING,,
58,The primary output of the Conduct Elicitation task (4.2) is the:...,A,Elicitation and Collaboration,,NO MAPPING,,
59,"While conducting elicitation, a BA utilizes prototyping. What is the main benefit of using a prototy...",B,Elicitation and Collaboration,,NO MAPPING,,
60,A BA is leading a highly productive collaborative game (4.2) intended to generate ideas for a new pr...,B,Elicitation and Collaboration,,NO MAPPING,,
61,The purpose of Confirm Elicitation Results (4.3) is to:...,B,Elicitation and Collaboration,,NO MAPPING,,
62,A BA compares an elicitation result (a process model draft) against a foundational source document (...,A,Elicitation and Collaboration,,NO MAPPING,,
63,Why is confirming elicitation results (4.3) considered a less rigorous and formal review than the ve...,B,Elicitation and Collaboration,,NO MAPPING,,
64,The primary output of the Confirm Elicitation Results task (4.3) is the:...,A,Elicitation and Collaboration,,NO MAPPING,,
65,Which technique is explicitly used in Confirm Elicitation Results (4.3) to formally or informally ch...,D,Elicitation and Collaboration,,NO MAPPING,,
66,The most crucial stakeholder group responsible for providing expertise to confirm that elicited info...,C,Elicitation and Collaboration,,NO MAPPING,,
67,A BA is preparing a finalized communication package (4.4) for the Implementation Subject Matter Expe...,C,Elicitation and Collaboration,,NO MAPPING,,
68,The primary purpose of Communicate Business Analysis Information (4.4) is to:...,B,Elicitation and Collaboration,,NO MAPPING,,
69,A BA chooses an e-mail communication platform (4.4.4.2) for distributing a finalized data model upda...,C,Elicitation and Collaboration,,NO MAPPING,,
70,Which guideline/tool directly assists the BA in determining how the requirements package (content an...,A,Elicitation and Collaboration,,NO MAPPING,,
71,The BA decides to host a workshop (a technique) to communicate the finalized requirements package (4...,B,Elicitation and Collaboration,,NO MAPPING,,
72,"During Manage Stakeholder Collaboration (4.5), monitoring stakeholder engagement (4.5.4.2) is necess...",A,Elicitation and Collaboration,,NO MAPPING,,
73,The purpose of Manage Stakeholder Collaboration (4.5) is to:...,B,Elicitation and Collaboration,,NO MAPPING,,
74,Which guideline/tool helps focus diverse stakeholders on a common vision of desired business outcome...,A,Elicitation and Collaboration,,NO MAPPING,,
75,"When a conflict arises during collaboration, the BA must rely heavily on which Interaction Skill to ...",C,Elicitation and Collaboration,,NO MAPPING,,
76,The most critical output of Manage Stakeholder Collaboration (4.5) is:...,B,Elicitation and Collaboration,,NO MAPPING,,
77,A BA is tracing requirements (5.1) for a critical component of a complex system. The BA identifies a...,D,Requirements Life Cycle Management,,NO MAPPING,,
78,The purpose of Trace Requirements (5.1) is to:...,B,Requirements Life Cycle Management,,NO MAPPING,,
79,Which external factor most significantly increases the required formality and effort needed when tra...,B,Requirements Life Cycle Management,,NO MAPPING,,
80,"During Trace Requirements (5.1), a BA links a high-level business requirement to a lower-level stake...",C,Requirements Life Cycle Management,,NO MAPPING,,
81,The Governance Approach serves as a critical input to Trace Requirements (5.1) because it helps the ...,A,Requirements Life Cycle Management,,NO MAPPING,,
82,The output of Trace Requirements (5.1) is Requirements (traced) and Designs (traced). What is the pr...,A,Requirements Life Cycle Management,,NO MAPPING,,
83,The core concept 'Solution' is primarily addressed during Trace Requirements (5.1) by ensuring that:...,B,Requirements Life Cycle Management,,NO MAPPING,,
84,The purpose of Maintain Requirements (5.2) is to:...,B,Requirements Life Cycle Management,,NO MAPPING,,
85,A business analyst is reviewing aged requirements for a core business process to determine if they a...,A,Requirements Life Cycle Management,,NO MAPPING,,
86,"During Maintain Requirements (5.2), a BA notes that a requirement attribute, 'Stability,' has shifte...",B,Requirements Life Cycle Management,,NO MAPPING,,
87,A BA uses Process Modelling as a technique during Maintain Requirements (5.2). How does this techniq...,C,Requirements Life Cycle Management,,NO MAPPING,,
88,The principle that requirements intended for reuse should be written with limited reference to speci...,B,Requirements Life Cycle Management,,NO MAPPING,,
89,The purpose of Prioritize Requirements (5.3) is to:...,B,Requirements Life Cycle Management,,NO MAPPING,,
90,A BA is facilitating a prioritization session (5.3) for a new software release. The Implementation S...,A,Requirements Life Cycle Management,,NO MAPPING,,
91,The prioritization factor 'Penalty' (5.3.4.1) primarily influences priority based on:...,B,Requirements Life Cycle Management,,NO MAPPING,,
92,Which input is necessary for the Prioritize Requirements task (5.3) to ensure the team adheres to th...,C,Requirements Life Cycle Management,,NO MAPPING,,
93,The BA is leading a negotiation session (5.3.4.4) where stakeholders have conflicting priorities reg...,C,Requirements Life Cycle Management,,NO MAPPING,,
94,The purpose of Assess Requirements Changes (5.4) is to:...,A,Requirements Life Cycle Management,,NO MAPPING,,
95,A stakeholder proposes a major change to an approved design. As the BA performs the impact analysis ...,A,Requirements Life Cycle Management,,NO MAPPING,,
96,A BA is determining the formality required for assessing a proposed change (5.4.4.1). The project us...,B,Requirements Life Cycle Management,,NO MAPPING,,
97,"Which output provides the necessary recommendation to approve, modify, or deny a proposed change to ...",A,Requirements Life Cycle Management,,NO MAPPING,,
98,Traceability is listed as a guideline/tool for Assess Requirements Changes (5.4). How is traceabilit...,B,Requirements Life Cycle Management,,NO MAPPING,,
99,The purpose of Approve Requirements (5.5) is to:...,B,Requirements Life Cycle Management,,NO MAPPING,,
100,"A Business Analyst is attempting to gain consensus (5.5.4.3) on a critical, high-risk set of require...",C,Requirements Life Cycle Management,,NO MAPPING,,
101,Which is the key input for the Approve Requirements task (5.5)?...,B,Requirements Life Cycle Management,,NO MAPPING,,
102,A BA is tracking and communicating approval status (5.5.4.4). Maintaining an audit history of change...,A,Requirements Life Cycle Management,,NO MAPPING,,
103,A Project Manager serves as a key stakeholder during the Approve Requirements task (5.5). What is th...,B,Requirements Life Cycle Management,,NO MAPPING,,
104,The purpose of Analyze Current State (6.1) is to:...,C,Strategy Analysis,,NO MAPPING,,
105,A BA discovers that the primary motivation for a change initiative is a direct order from the CEO to...,B,Strategy Analysis,,NO MAPPING,,
106,Which element of Analyze Current State (6.1) explores how the enterprise currently generates profits...,B,Strategy Analysis,,NO MAPPING,,
107,A BA is reviewing the external environment in Analyze Current State (6.1). Which factor is considere...,C,Strategy Analysis,,NO MAPPING,,
108,Which technique is most appropriate for assessing the enterprise's current internal and external hea...,B,Strategy Analysis,,NO MAPPING,,
109,The output 'Business Requirements' from Analyze Current State (6.1) represents:...,B,Strategy Analysis,,NO MAPPING,,
110,The purpose of Define Future State (6.2) is to:...,B,Strategy Analysis,,NO MAPPING,,
111,A BA defines a business objective for a new service line: 'Increase recurring subscription revenue b...,D,Strategy Analysis,,NO MAPPING,,
112,"In Define Future State (6.2), stakeholders identify high-level constraints, such as 'Must comply wit...",C,Strategy Analysis,,NO MAPPING,,
113,The BA uses the Current State Description (an input) during Define Future State (6.2) primarily beca...,A,Strategy Analysis,,NO MAPPING,,
114,"When defining the scope of the solution space (6.2.4.2), the key constraint driving the decision on ...",B,Strategy Analysis,,NO MAPPING,,
115,"A Business Analyst completes the Define Future State task (6.2), producing outputs including Busines...",B,Strategy Analysis,,NO MAPPING,,
116,The purpose of Assess Risks (6.3) is to:...,C,Strategy Analysis,,NO MAPPING,,
117,"A BA assesses a major risk: 'If the regulatory deadline is moved forward by 3 months, then we will b...",B,Strategy Analysis,,NO MAPPING,,
118,An organization has a 'Risk-aversion' attitude toward compliance risk. When Assess Risks (6.3) is pe...,C,Strategy Analysis,,NO MAPPING,,
119,Which input is utilized in Assess Risks (6.3) to provide a benchmark against which the impact of unc...,D,Strategy Analysis,,NO MAPPING,,
120,A BA uses brainstorming with the implementation team during Assess Risks (6.3). What is the primary ...,B,Strategy Analysis,,NO MAPPING,,
121,The primary output of Assess Risks (6.3) is:...,A,Strategy Analysis,,NO MAPPING,,
122,The purpose of Define Change Strategy (6.4) is to:...,A,Strategy Analysis,,NO MAPPING,,
123,A BA is performing a Gap Analysis (6.4.4.2) between the Current State and Future State. Which catego...,D,Strategy Analysis,,NO MAPPING,,
124,"When evaluating various potential Change Strategies (6.4.4.4), the BA must consider the costs and be...",D,Strategy Analysis,,NO MAPPING,,
125,A BA develops a high-level plan that details which functional requirements will be included in each ...,C,Strategy Analysis,,NO MAPPING,,
126,The primary output of Define Change Strategy (6.4) is the Change Strategy and the Solution Scope. Wh...,B,Strategy Analysis,,NO MAPPING,,
127,The element 'Enterprise Readiness Assessment' (6.4.4.3) primarily focuses on assessing the organizat...,B,Strategy Analysis,,NO MAPPING,,
133,The purpose of Specify and Model Requirements (7.1) is to:...,B,Requirements Analysis and Design Definition,,NO MAPPING,,
134,A BA decides to use a Matrix format to model requirements. This format is best suited when modeling ...,A,Requirements Analysis and Design Definition,,NO MAPPING,,
135,"When specifying requirements (7.1), categorizing them according to the Requirements Classification S...",B,Requirements Analysis and Design Definition,,NO MAPPING,,
136,A BA is documenting detailed requirements for a system interface using a Sequence Diagram (a techniq...,C,Requirements Analysis and Design Definition,,NO MAPPING,,
137,Which guideline/tool provides the boundary for the requirements and designs models produced in Speci...,C,Requirements Analysis and Design Definition,,NO MAPPING,,
138,The primary output of the Specify and Model Requirements task (7.1) is:...,C,Requirements Analysis and Design Definition,,NO MAPPING,,
139,A BA is developing a highly detailed data model to inform database construction. This detailed model...,B,Requirements Analysis and Design Definition,,NO MAPPING,,
140,The purpose of Verify Requirements (7.2) is to ensure that requirements and designs specifications a...,B,Requirements Analysis and Design Definition,,NO MAPPING,,
141,"A business analyst discovers a requirement stating, 'The system must be secure.' This requirement fa...",D,Requirements Analysis and Design Definition,,NO MAPPING,,
142,A BA performs verification and finds that two separate requirements contradict each other. Which qua...,B,Requirements Analysis and Design Definition,,NO MAPPING,,
143,The core concept 'Solution' is addressed during Verify Requirements (7.2) by ensuring that the defin...,B,Requirements Analysis and Design Definition,,NO MAPPING,,
144,"During the Verification Activities element (7.2.4.2), a BA checks that all technical diagrams adhere...",B,Requirements Analysis and Design Definition,,NO MAPPING,,
145,The mandatory input for the Verify Requirements task (7.2) is:...,A,Requirements Analysis and Design Definition,,NO MAPPING,,
146,"The output of Verify Requirements (7.2), Requirements (verified), is a critical input to which subse...",B,Requirements Analysis and Design Definition,,NO MAPPING,,
147,The purpose of Validate Requirements (7.3) is to ensure that all requirements and designs:...,C,Requirements Analysis and Design Definition,,NO MAPPING,,
148,A BA is defining measurable evaluation criteria (7.3.4.2) for validating a new capability. Which met...,B,Requirements Analysis and Design Definition,,NO MAPPING,,
149,"During Validate Requirements (7.3), a requirement is deemed highly beneficial to a single stakeholde...",C,Requirements Analysis and Design Definition,,NO MAPPING,,
150,A core element of Validate Requirements (7.3) involves actively challenging stakeholder assumptions ...,C,Requirements Analysis and Design Definition,,NO MAPPING,,
151,Which input serves as the benchmark against which the expected value delivered by requirements is as...,C,Requirements Analysis and Design Definition,,NO MAPPING,,
152,The purpose of Define Requirements Architecture (7.4) is to:...,B,Requirements Analysis and Design Definition,,NO MAPPING,,
153,"A Business Analyst develops a series of models—including a business process model, a data model, and...",A,Requirements Analysis and Design Definition,,NO MAPPING,,
154,The primary goal of organizing requirements within an architecture (7.4) is NOT merely to demonstrat...,A,Requirements Analysis and Design Definition,,NO MAPPING,,
155,"In Define Requirements Architecture (7.4), performing Functional Decomposition (a technique) helps t...",B,Requirements Analysis and Design Definition,,NO MAPPING,,
156,The purpose of Define Design Options (7.5) is to:...,B,Requirements Analysis and Design Definition,,NO MAPPING,,
157,A BA is exploring a design option that requires leveraging an existing technology platform but neces...,C,Requirements Analysis and Design Definition,,NO MAPPING,,
158,Which activity within Define Design Options (7.5) involves assigning requirements to specific soluti...,C,Requirements Analysis and Design Definition,,NO MAPPING,,
159,"In assessing design options (7.5), the BA identifies an opportunity to consolidate several disparate...",C,Requirements Analysis and Design Definition,,NO MAPPING,,
160,The primary input used to ensure that design options address the full set of interdependencies and r...,A,Requirements Analysis and Design Definition,,NO MAPPING,,
161,The purpose of Analyze Potential Value and Recommend Solution (7.6) is to:...,B,Requirements Analysis and Design Definition,,NO MAPPING,,
162,"During the evaluation of design options (7.6), the BA analyzes the financial trade-offs. The BA calc...",D,Requirements Analysis and Design Definition,,NO MAPPING,,
163,A BA is comparing three design options. Option 1 offers high financial return but high technical ris...,B,Requirements Analysis and Design Definition,,NO MAPPING,,
164,Which element of Analyze Potential Value and Recommend Solution (7.6) requires the BA to consider al...,B,Requirements Analysis and Design Definition,,NO MAPPING,,
165,The final output of Analyze Potential Value and Recommend Solution (7.6) is the Solution Recommendat...,C,Requirements Analysis and Design Definition,,NO MAPPING,,
166,"If a proposed solution offers substantial benefits that are difficult to quantify (e.g., improved st...",B,Requirements Analysis and Design Definition,,NO MAPPING,,
167,The purpose of Measure Solution Performance (8.1) is to:...,B,Solution Evaluation,,NO MAPPING,,
168,A BA is attempting to measure the performance of a newly implemented training solution. The BA obser...,B,Solution Evaluation,,NO MAPPING,,
169,Which input is mandatory for the Measure Solution Performance task (8.1)?...,B,Solution Evaluation,,NO MAPPING,,
170,A BA is defining performance measures (8.1.4.1) for a new customer service portal. Which measure ali...,C,Solution Evaluation,,NO MAPPING,,
171,The primary output of Measure Solution Performance (8.1) is:...,B,Solution Evaluation,,NO MAPPING,,
172,A BA seeks to validate performance measures (8.1.4.2) for a change that aims to improve regulatory c...,C,Solution Evaluation,,NO MAPPING,,
173,The purpose of Analyze Performance Measures (8.2) is to:...,A,Solution Evaluation,,NO MAPPING,,
174,"A BA analyzes performance data and finds a significant, repeated drop in transaction speed every Mon...",D,Solution Evaluation,,NO MAPPING,,
175,A core challenge in Analyze Performance Measures (8.2) is assessing solution performance versus desi...,C,Solution Evaluation,,NO MAPPING,,
176,"Which input defines the expected returns and goals, providing the benchmark against which actual sol...",C,Solution Evaluation,,NO MAPPING,,
177,The primary output of Analyze Performance Measures (8.2) is:...,C,Solution Evaluation,,NO MAPPING,,
178,The purpose of Assess Solution Limitations (8.3) is to:...,A,Solution Evaluation,,NO MAPPING,,
179,A BA determines that an implemented software module is repeatedly producing inaccurate outputs due t...,B,Solution Evaluation,,NO MAPPING,,
180,A BA uses Acceptance and Evaluation Criteria (a technique) during Assess Solution Limitations (8.3) ...,B,Solution Evaluation,,NO MAPPING,,
181,The primary output of Assess Solution Limitations (8.3) is:...,B,Solution Evaluation,,NO MAPPING,,
182,"When performing an Impact Assessment (8.3.4.3) on an internal solution problem, the BA must determin...",B,Solution Evaluation,,NO MAPPING,,
183,The purpose of Assess Enterprise Limitations (8.4) is to:...,A,Solution Evaluation,,NO MAPPING,,
184,"A BA conducts an organizational assessment (8.4.4.1) and finds that end users view the new, efficien...",C,Solution Evaluation,,NO MAPPING,,
185,A BA performs an Operational Assessment (8.4.4.4) on the enterprise. Which item is typically include...,A,Solution Evaluation,,NO MAPPING,,
186,Which technique is most effective for visualizing required organizational structural changes (report...,C,Solution Evaluation,,NO MAPPING,,
187,The core input required for Assess Enterprise Limitations (8.4) that provides context regarding the ...,B,Solution Evaluation,,NO MAPPING,,
188,The purpose of Recommend Actions to Increase Solution Value (8.5) is to:...,A,Solution Evaluation,,NO MAPPING,,
189,"A BA determines that an underperforming solution, despite having high potential value, should be 'Re...",D,Solution Evaluation,,NO MAPPING,,
190,A BA recommends 'Organizational Change' as the action to increase value (8.5). Which component might...,A,Solution Evaluation,,NO MAPPING,,
191,Which technique is explicitly recommended for determining the impact of acting on any potential valu...,C,Solution Evaluation,,NO MAPPING,,
192,The primary inputs for Recommend Actions to Increase Solution Value (8.5) are the:...,A,Solution Evaluation,,NO MAPPING,,
233,The BA must establish explicit agreement on the minimal set of conditions a new solution must meet t...,B,Requirements Analysis and Design Definition,,NO MAPPING,,
234,A BA is drafting Acceptance Criteria for a user story (7.1). The criteria must be expressed in a tes...,B,Requirements Analysis and Design Definition,,NO MAPPING,,
235,The primary advantage of using the Acceptance and Evaluation Criteria technique is:...,B,Requirements Analysis and Design Definition,,NO MAPPING,,
236,A BA uses a Balance Scorecard (a technique) during Define Future State (6.2). The primary benefit of...,C,Strategy Analysis,,NO MAPPING,,
237,"When performing Backlog Management (a technique), items near the top of the backlog typically requir...",A,Requirements Life Cycle Management,,NO MAPPING,,
238,"A growing backlog over several iterations, despite steady team velocity, is an indicator that requir...",A,Requirements Life Cycle Management,,NO MAPPING,,
239,The primary input used to justify the pursuit of a new initiative based on predicted benefits versus...,B,Strategy Analysis,,NO MAPPING,,
240,"When structuring a Business Case (a technique), the 'Desired Outcomes' element should primarily focu...",B,Strategy Analysis,,NO MAPPING,,
241,A BA utilizes Interviews (a technique) to gather information from a stakeholder. To maximize the cla...,C,Elicitation and Collaboration,,NO MAPPING,,
242,A BA is documenting a stakeholder’s needs for a new regulatory system. The stakeholder is highly tec...,C,Elicitation and Collaboration,,NO MAPPING,,
243,A Business Analyst uses Prototyping (a technique) specifically in the exploratory or 'throw-away' mo...,B,Requirements Analysis and Design Definition,,NO MAPPING,,
244,"During a Workshop (a technique), the facilitator must establish ground rules at the beginning. Which...",D,Elicitation and Collaboration,,NO MAPPING,,
245,The primary deliverable produced during a Workshop (a technique) is expected to be:...,D,Elicitation and Collaboration,,NO MAPPING,,
246,A Business Analyst initiates the Plan Stakeholder Engagement task (3.2). The initial list of stakeho...,C,Business Analysis Planning and Monitoring,,NO MAPPING,,
247,"In using the SWOT Analysis technique, a BA identifies that 'Competitor A launched a superior, cheape...",D,Strategy Analysis,,NO MAPPING,,
